canonical_topic,community_phrase,community_document_count,mentions_per_1000_valid_documents,source_document_counts,source_diversity,kwic_review_pass_rate,kwic_reviewed_count,top_cooccurring_phrases,search_keyword,mobile_search_volume,pc_search_volume,total_search_volume,classification,content_direction,interview_direction,ecosystem_direction,sample_url
결직웨딩 통해서,결직웨딩 통해서,5,34.722,"{""kgwed"": 5}",1,,0,,결직웨딩 통해서,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=112
결혼 준비,결혼 준비를,12,83.333,"{""dcinside"": 5, ""kgwed"": 7}",2,,0,준비하면서 | 상담 | 스튜디오,결혼 준비,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://gall.dcinside.com/board/view/?id=wedding&no=78632
결혼 준비하면서,결혼 준비하면서,5,34.722,"{""dcinside"": 5}",1,,0,,결혼 준비하면서,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://gall.dcinside.com/board/view/?id=wedding&no=78632
결혼식 비용,결혼식 비용,7,48.611,"{""dcinside"": 7}",1,,0,,결혼식 비용,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://gall.dcinside.com/board/view/?id=wedding&no=70373
계약 후기,계약 후기,9,62.5,"{""dcinside"": 2, ""kgwed"": 7}",2,,0,,계약 후기,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://gall.dcinside.com/board/view/?id=wedding&no=75257
다양한 스타일,다양한 스타일을,5,34.722,"{""kgwed"": 5}",1,,0,드레스,다양한 스타일,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=56
드는 드레스,드는 드레스를,6,41.667,"{""kgwed"": 6}",1,,0,맘에 | 맘에 드는 | 느낌,드는 드레스,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=114
드레스 느낌,드레스 느낌이,7,48.611,"{""kgwed"": 7}",1,,0,,드레스 느낌,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=118
드레스 투어,드레스 투어,11,76.389,"{""kgwed"": 11}",1,,0,디자인 | 스타일 | 후기,드레스 투어,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=91
마음 드는,마음에 드는,6,41.667,"{""kgwed"": 6}",1,,0,드레스,마음 드는,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=92
마음 들었어요,마음에 들었어요,5,34.722,"{""kgwed"": 5}",1,,0,드레스 | 드레스 마음,마음 들었어요,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=98
맘에 드는,맘에 드는,7,48.611,"{""kgwed"": 7}",1,,0,드는 드레스 | 드레스,맘에 드는,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=114
모바일 결갤러,모바일에서 결갤러,14,97.222,"{""dcinside"": 14}",1,,0,,모바일 결갤러,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://gall.dcinside.com/board/view/?id=wedding&no=75257
본식 드레스,본식 드레스,12,83.333,"{""kgwed"": 12}",1,,0,때문,본식 드레스,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=110
샘플 사진,샘플 사진을,6,41.667,"{""kgwed"": 6}",1,,0,스튜디오,샘플 사진,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=107
선택하게 되었습니다,선택하게 되었습니다,6,41.667,"{""kgwed"": 6}",1,,0,비즈,선택하게 되었습니다,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=129
선택한 이유,선택한 이유는,7,48.611,"{""kgwed"": 7}",1,,0,드레스 | 드레스 선택한,선택한 이유,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=93
스튜디오 촬영,스튜디오 촬영,17,118.056,"{""kgwed"": 17}",1,,0,많이 | 드레스,스튜디오 촬영,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=129
예쁜 드레스,예쁜 드레스,8,55.556,"{""kgwed"": 8}",1,,0,,예쁜 드레스,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=86
원하 드레스,원하는 드레스,5,34.722,"{""kgwed"": 5}",1,,0,,원하 드레스,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=116
추천해 주신,추천해 주신,5,34.722,"{""kgwed"": 5}",1,,0,,추천해 주신,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=129
축의금 만원,축의금 만원,6,41.667,"{""dcinside"": 6}",1,,0,,축의금 만원,,,,insufficient_data,사람 검수 후 정보성 소재 후보,KWIC로 문제 원인 확인,이해관계자 연결 검토,https://gall.dcinside.com/board/view/?id=wedding&no=69752
